subject,body,category
Health insurance enrollment deadline,"when is the last date to enroll my spouse under the group health insurance plan, i missed the reminder email and don't want to miss the deadline",HR
Complaint regarding workplace behavior,I would like to raise a formal complaint about a colleague's repeated inappropriate comments during team meetings. I'd like to discuss this confidentially.,HR
ID card and access badge not working,"my access badge stopped working at the main entrance since yesterday, security let me in manually but this needs to be fixed for tomorrow",HR
Performance review schedule,Could you confirm when the mid-year performance review cycle starts? My manager mentioned it but I haven't seen anything on the HR calendar.,HR
Salary revision query,I was told my salary revision would reflect from this month's payroll but the amount credited looks the same as last month. Can you check?,HR
Request for employment verification letter,"I need an employment verification letter for a visa application, could someone from HR issue this on letterhead by early next week",HR
Reimbursement not credited,"I submitted my travel reimbursement claim three weeks ago and it's still showing as pending, can someone follow up on the approval status",HR
New hire laptop and equipment request,"the new analyst joining monday still hasn't been assigned a laptop through the hr onboarding system, can this be expedited before her start date",HR
Query on notice period buyout,"If I want to leave earlier than my notice period, is there an option to buy out the remaining days? What's the process for that?",HR
Partnership opportunity inquiry,"Hi team, we run a mid-size marketing agency and would love to explore a potential partnership or referral program with your platform. Who should we talk to?",General
Feedback on new website design,"just wanted to say the new website redesign looks great, much cleaner than before, nice work to whoever worked on that",General
Request to update company contact email,Could you please update our primary contact email on file from the old one to accounts@ourcompany.com going forward for all correspondence?,General
Press inquiry about company milestones,I'm a journalist writing a piece on fast growing startups in the region and would like to request a short interview with someone from your leadership team.,General
General question about your services,"hi, i came across your company through a friend and wanted to know more generally about what services you offer before deciding to sign up",General
Newsletter subscription issue,"I signed up for the newsletter twice by mistake and now get duplicate emails every week, could you remove one of the subscriptions please",General
Compliment for support team,"just wanted to send a quick note saying your support team helped me out really fast last week, appreciated the effort, thank you",General
Event invitation inquiry,We're organizing a tech meetup next month and would love to invite your company as a speaker or sponsor. Let us know who to coordinate with.,General
Feature suggestion for the product,"it would be really nice if you guys added dark mode to the app someday, just a small suggestion from a long time user",General
Inquiry about career opportunities,"hello, i really admire what your company is building and wanted to know if there are any open roles for someone with a data background",General
Request to be removed from mailing list,"Please remove me from all future marketing emails, I'm no longer interested in receiving updates from your company. Thanks in advance.",General
Question about company office locations,"does your company have an office in bangalore or is everything remote right now, just curious as someone exploring potential collaboration",General
General thank you note,"Just wanted to drop a quick thank you, your product genuinely made my workflow easier this quarter, appreciate the team's work.",General
Vendor registration inquiry,We are a logistics vendor and would like to know the process to get registered as an approved vendor for your organization.,General
Inquiry about CSR initiatives,I'm curious if your company has any CSR or community outreach programs we could potentially collaborate on from our nonprofit's side.,General
